File Name,Cross-section,GenFiltEff
100000_13000GeV_128650,2.768e-05,8.058667e-01
100001_13000GeV_303452,2.086e-05,7.927699e-01
100002_13000GeV_212528,1.561e-05,8.065167e-01
100003_13000GeV_231821,1.170e-05,7.973210e-01
100004_13000GeV_406222,8.717e-06,8.042464e-01
100005_13000GeV_290516,6.511e-06,7.978936e-01
100006_13000GeV_179059,4.865e-06,8.001920e-01
100007_13000GeV_335188,3.636e-06,8.022463e-01
100008_13000GeV_292929,2.722e-06,7.979572e-01
100009_13000GeV_322748,2.044e-06,8.050233e-01
100010_13000GeV_192133,1.537e-06,8.023107e-01
100011_13000GeV_274161,1.159e-06,7.978936e-01
100012_13000GeV_434453,8.741e-07,8.000000e-01
100013_13000GeV_297525,6.614e-07,7.985945e-01
100014_13000GeV_174274,5.001e-07,8.087997e-01
100015_13000GeV_323952,3.790e-07,7.959249e-01
100016_13000GeV_237335,2.881e-07,8.001280e-01
100017_13000GeV_428489,2.199e-07,8.025038e-01
100018_13000GeV_442572,1.675e-07,7.994244e-01
100019_13000GeV_468762,1.278e-07,7.956715e-01
100020_13000GeV_474166,9.804e-08,8.043758e-01
